,playerID,yearID,nameLast,nameFirst,OPS,RBI/AB,DPH,FBH,BCA,R,BA,BABIP,bpcsum,name,bpcn
588,gyorkje01,2017,Gyorko,Jedd,0.812787326871834,0.1572769953051643,1.125,0.2,0.7586206896551724,52,0.27230046948356806,0.3116883116883117,1.9286850118321706,"Jedd,Gyorko",0.2045552034982634
1433,zimmery01,2017,Zimmerman,Ryan,0.9301579728583544,0.20610687022900764,0.8571428571428571,0.17391304347826086,0.6177777777777778,90,0.30343511450381677,0.335149863760218,1.9279556643434008,"Ryan,Zimmerman",0.20382585600949366
198,carpema01,2017,Carpenter,Matt,0.8345751930940482,0.13883299798792756,1.3571428571428572,0.14084507042253522,0.8134715025906736,91,0.2414486921529175,0.2740112994350282,1.9277247640951845,"Matt,Carpenter",0.20359495576127729
1434,zimmery01,2018,Zimmerman,Ryan,0.8235724114207086,0.17708333333333334,0.5263157894736842,0.19642857142857142,0.7293233082706767,33,0.2638888888888889,0.28378378378378377,1.92640762445329,"Ryan,Zimmerman",0.34747904421019427
871,mccutan01,2015,McCutchen,Andrew,0.8890923628485208,0.1696113074204947,0.22560975609756098,0.11935483870967742,0.747141041931385,91,0.2915194346289753,0.33890214797136037,1.925199550910078,"Andrew,McCutchen",0.2295550886100579
502,goldspa01,2016,Goldschmidt,Paul,0.8992851114774689,0.16407599309153714,0.7692307692307693,0.14814814814814814,0.7131782945736435,106,0.2970639032815199,0.3583535108958838,1.9246875472907976,"Paul,Goldschmidt",0.22729717024881047
449,freesda01,2018,Freese,David,0.8304029304029303,0.18214285714285713,0.7058823529411765,0.1282051282051282,0.7835820895522388,38,0.29642857142857143,0.36,1.9243330053031547,"David,Freese",0.345404425060059
328,descada01,2017,Descalso,Daniel,0.7270071286665887,0.14825581395348839,1.1923076923076923,0.25,0.7948717948717948,47,0.23255813953488372,0.2834008097165992,1.920134737491872,"Daniel,Descalso",0.19600492915796486
1381,valenda01,2015,Valencia,Danny,0.8636681659170415,0.19130434782608696,0.19083969465648856,0.20408163265306123,0.6601941747572816,59,0.2898550724637681,0.3293172690763052,1.9192483211534714,"Danny,Valencia",0.22360385885345124
1439,zobribe01,2018,Zobrist,Ben,0.8172097651866438,0.12747252747252746,0.8787878787878788,0.2542372881355932,0.71875,67,0.3054945054945055,0.33078880407124683,1.9176695807947644,"Ben,Zobrist",0.33874100055166867
194,canoro01,2018,Cano,Robinson,0.8445309603262885,0.16129032258064516,0.7727272727272727,0.275,0.635,44,0.3032258064516129,0.32941176470588235,1.9158212829069339,"Robinson,Cano",0.3368927026638382
141,brantmi02,2015,Brantley,Michael,0.8593458596059426,0.15879017013232513,0.4117647058823529,0.20967741935483872,0.6877394636015326,68,0.31001890359168244,0.31837606837606836,1.9155529126946391,"Michael,Brantley",0.21990845039461893
1364,turneju01,2018,Turner,Justin,0.9239115055630587,0.14246575342465753,0.3953488372093023,0.15873015873015872,0.6895674300254453,62,0.31232876712328766,0.33444816053511706,1.9146748477433202,"Justin,Turner",0.3357462675002245
599,harpebr03,2018,Harper,Bryce,0.8891693917593197,0.18181818181818182,0.7611940298507462,0.06756756756756757,0.7745098039215687,103,0.24909090909090909,0.2893258426966292,1.9130649450666377,"Bryce,Harper",0.33413636482354203
1394,vottojo01,2018,Votto,Joey,0.8368185749068989,0.13320079522862824,0.723404255319149,0.08771929824561403,0.8535353535353535,67,0.28429423459244535,0.3333333333333333,1.9112740219164945,"Joey,Votto",0.33234544167339886
1222,seageky01,2016,Seager,Kyle,0.8586299346832783,0.1658291457286432,0.7246376811594203,0.16417910447761194,0.7219917012448133,89,0.2780569514237856,0.2950108459869848,1.910629886134347,"Kyle,Seager",0.21323950909235978
298,darnatr01,2017,d'Arnaud,Travis,0.7350819271215456,0.16379310344827586,0.8636363636363636,0.32,0.6910569105691057,39,0.2442528735632184,0.25,1.909931941138927,"Travis,d'Arnaud",0.1858021328050199
1417,yelicch01,2016,Yelich,Christian,0.8590267312852125,0.1695501730103806,0.8571428571428571,0.1875,0.6929460580912863,78,0.2975778546712803,0.3561320754716981,1.9090229623868793,"Christian,Yelich",0.21163258534489215
169,cabreas01,2018,Cabrera,Asdrubal,0.7737538362538363,0.13736263736263737,1.68,0.2857142857142857,0.711864406779661,68,0.2619047619047619,0.2955665024630542,1.9086951661104203,"Asdrubal,Cabrera",0.32976658586732466
1094,ramoswi01,2018,Ramos,Wilson,0.8450840716874748,0.18324607329842932,1.5625,0.1702127659574468,0.7083333333333334,39,0.306282722513089,0.35294117647058826,1.9068762442766842,"Wilson,Ramos",0.32794766403358855
173,cabreme01,2017,Cabrera,Melky,0.7463758258841819,0.13709677419354838,2.4347826086956523,0.34375,0.6777777777777778,78,0.2854838709677419,0.29906542056074764,1.9050003778555082,"Melky,Cabrera",0.18087056952160108
789,lowrije01,2018,Lowrie,Jed,0.8009277536517962,0.16610738255033558,1.1,0.17543859649122806,0.7611940298507462,78,0.26677852348993286,0.30357142857142855,1.9036677625441063,"Jed,Lowrie",0.3247391823010106
178,cabremi01,2017,Cabrera,Miguel,0.7276431775768739,0.1279317697228145,1.7741935483870968,0.4,0.6475409836065574,50,0.24946695095948826,0.29190751445086704,1.903115930906246,"Miguel,Cabrera",0.1789861225723388
991,peralda01,2015,Peralta,David,0.8930183291885421,0.16883116883116883,0.3253968253968254,0.23423423423423423,0.6065573770491803,61,0.3116883116883117,0.3681159420289855,1.9026411093031255,"David,Peralta",0.20699664700310527
251,choosh01,2015,Choo,Shin-Soo,0.8378710507742766,0.14774774774774774,0.24423963133640553,0.18867924528301888,0.7270233196159122,94,0.2756756756756757,0.3350383631713555,1.9013213634209554,"Shin-Soo,Choo",0.20567690112093517
642,hicksaa01,2016,Hicks,Aaron,0.616946992864424,0.09480122324159021,0.896551724137931,0.4166666666666667,0.7710843373493976,32,0.21712538226299694,0.24803149606299213,1.8994992201220786,"Aaron,Hicks",0.20210884308009147
281,cruzne02,2015,Cruz,Nelson,0.9355673437702161,0.1576271186440678,0.36936936936936937,0.17289719626168223,0.6322489391796322,90,0.3016949152542373,0.34986945169712796,1.8983405978555985,"Nelson,Cruz",0.2026961355555783
788,lowrije01,2017,Lowrie,Jed,0.8076617037857348,0.12169312169312169,1.2982456140350878,0.21818181818181817,0.75,86,0.2768959435626102,0.31359649122807015,1.8975366436606746,"Jed,Lowrie",0.17340683532676748
1437,zobribe01,2016,Zobrist,Ben,0.8314716044413135,0.14531548757170173,0.36666666666666664,0.1926605504587156,0.7277486910994765,94,0.27151051625239003,0.2903981264637002,1.8971963335712072,"Ben,Zobrist",0.19980595652922006
57,andruel01,2016,Andrus,Elvis,0.8004373055251872,0.13636363636363635,1.0232558139534884,0.3181818181818182,0.6385542168674698,75,0.30237154150197626,0.3333333333333333,1.8935369769381116,"Elvis,Andrus",0.19614659989612448
836,martiru01,2015,Martin,Russell,0.7874384467791061,0.1746031746031746,0.1349206349206349,0.18620689655172415,0.7446808510638298,76,0.24036281179138322,0.2618296529968454,1.8929293689978346,"Russell,Martin",0.1972849066978144
1067,pradoma01,2016,Prado,Martin,0.7753292806484295,0.125,1.1612903225806452,0.2916666666666667,0.7005649717514124,70,0.305,0.3314393939393939,1.8925609190665087,"Martin,Prado",0.19517054202452155
329,descada01,2018,Descalso,Daniel,0.7886106546802645,0.16332378223495703,0.5581395348837209,0.22,0.7196969696969697,54,0.23782234957020057,0.30042918454935624,1.8916314066121913,"Daniel,Descalso",0.31270282636909563
